employee_id,department,job_level,age,salary,company_years,career_years,hiring_source,education_level,recently_promoted,distance,work_from_home,travel_frequently,leave
EMP0310,IT,Mid,37,105129.0,10,10.0,Agency,Undergrad Degree,True,3,False,Yes,False
EMP1273,Finance,Junior,61,31902.0,1,13.0,Direct,Undergrad Degree,True,39,False,No,False
EMP0391,Sales,Junior,43,29722.0,9,13.0,Referral,,False,14,True,No,False
EMP1372,Finance,Junior,29,33196.0,1,1.0,Direct,Undergrad Degree,False,9,True,Yes,True
EMP1208,Finance,Junior,29,32885.0,1,6.0,Agency,Undergrad Degree,False,3,False,Yes,True
EMP0188,HR,Junior,43,50859.0,17,17.0,Direct Hire,Secondary,False,23,False,No,False
EMP1138,Sales,Senior,25,121964.0,1,1.0,Agency,MSc,False,13,False,No,True
EMP1034,IT,Junior,21,51255.0,2,2.0,Agency,PhD,False,103,True,No,True
EMP0276,Finance,Lead,56,201622.0,10,38.0,Referral,Undergrad Degree,False,18,False,No,False
EMP1393,HR,Junior,26,48963.0,1,1.0,Direct,Secondary,False,71,False,No,True
EMP0780,Sales,Junior,46,26233.0,5,11.0,Agency,Undergrad Degree,False,46,,No,False
EMP0555,Finance,Junior,36,32665.0,7,13.0,Direct,Masters,True,3,False,No,False
EMP0989,Sales,Junior,34,29299.0,3,4.0,Agency,Undergrad Degree,False,3,,No,False
EMP0398,Sales,Junior,35,35898.0,9,11.0,Direct Hire,Undergrad Degree,False,4,False,Yes,False
EMP0847,HR,Junior,53,25182.0,4,12.0,Agency,UG Degree,False,59,False,Yes,False
EMP1156,Finance,Senior,43,128148.0,1,1.0,Direct,Secondary,True,4,False,Yes,False
EMP1063,Sales,Junior,42,34478.0,2,10.0,Direct,Undergrad Degree,False,3,False,No,False
EMP1321,IT,Junior,20,29611.0,1,1.0,Direct,Undergrad Degree,False,19,False,No,True
EMP0808,Sales,Mid,26,60552.0,4,5.0,Agency,Secondary,False,29,False,Yes,False
EMP0657,IT,Mid,42,84924.0,5,8.0,Direct,Undergrad Degree,True,10,True,No,False
EMP0386,IT,Junior,34,47625.0,9,9.0,Direct,Undergrad Degree,False,3,True,No,False
EMP0321,IT,Junior,47,55874.0,10,17.0,Direct,Secondary,False,18,True,Yes,False
EMP1348,Sales,Junior,21,31473.0,1,1.0,Direct,Undergrad Degree,False,9,True,Yes,False
EMP0106,IT,Lead,52,211703.0,26,26.0,Direct,Undergrad Degree,False,29,False,No,False
EMP0769,HR,Junior,39,34989.0,5,8.0,Direct,Masters,False,21,True,No,False
EMP0756,Finance,Junior,29,24761.0,5,8.0,Direct,Undergrad Degree,False,11,False,No,False
EMP0878,Sales,Junior,42,41860.0,4,9.0,Direct,Masters,False,3,True,No,False
EMP0713,Sales,Junior,54,37033.0,5,11.0,Direct Hire,UG Degree,False,11,False,Y,False
EMP1328,HR,Junior,18,11640.0,1,1.0,Direct,Undergrad Degree,True,10,False,N,True
EMP0518,Sales,Mid,39,70321.0,7,13.0,Direct,PhD,False,6,False,N,False
EMP1127,IT,Senior,41,154445.0,1,1.0,Agency,Masters,False,3,True,No,False
EMP1221,IT,Junior,24,31550.0,1,4.0,Direct,Undergrad Degree,False,3,False,N,True
EMP0244,Sales,Senior,34,160363.0,12,12.0,Direct,Undergrad Degree,False,3,False,No,False
EMP1241,Sales,Junior,18,13060.0,1,1.0,Direct,Masters,False,10,True,Y,True
EMP0325,IT,Junior,31,59970.0,10,11.0,Agency,Undergrad Degree,False,3,False,No,False
EMP0629,IT,Junior,34,27067.0,6,6.0,Direct,Secondary,False,3,False,No,False
EMP0123,IT,Mid,47,61292.0,24,27.0,Agency,Secondary,False,7,False,Yes,False
EMP0460,IT,Junior,45,31497.0,8,10.0,Agency,Undergrad Degree,True,9,True,No,False
EMP0607,IT,Junior,49,39544.0,6,19.0,Direct,Secondary,False,3,False,No,False
EMP0257,Sales,Mid,31,62387.0,11,11.0,Direct,Masters,False,4,False,No,False
EMP0696,Sales,Mid,37,79404.0,5,11.0,Agency,,False,3,False,Yes,False
EMP0122,Finance,Lead,56,227554.0,24,37.0,Referral,Undergrad Degree,True,14,False,No,False
EMP1392,Sales,Junior,18,28253.0,1,1.0,Agency,PhD,False,3,True,No,True
EMP0729,Sales,Junior,43,30395.0,5,11.0,Direct,Undergrad Degree,False,3,False,No,False
EMP1094,HR,Junior,37,29880.0,2,7.0,Agency,Undergrad Degree,False,3,True,Yes,False
EMP0936,IT,Junior,29,25109.0,3,3.0,Direct,Undergrad Degree,False,3,False,No,False
EMP0862,Sales,Junior,48,58121.0,4,18.0,Agency,Undergrad Degree,False,5,True,No,False
EMP0359,IT,Mid,37,88955.0,9,9.0,Direct,Secondary,False,3,False,No,False
EMP0675,Finance,Mid,42,75273.0,5,5.0,Agency,Undergrad Degree,False,6,False,Yes,False
EMP0283,IT,Senior,58,128242.0,10,29.0,Direct,Undergrad Degree,False,9,True,No,False
EMP0234,IT,Junior,32,53187.0,13,13.0,Direct,Undergrad Degree,False,94,False,No,True
EMP0269,Sales,Junior,39,31270.0,11,12.0,Direct,Undergrad Degree,False,3,False,No,False
EMP0153,Finance,Senior,42,159958.0,20,20.0,Direct,Undergrad Degree,True,28,True,Yes,False
EMP0401,HR,Junior,31,25843.0,9,,Agency,Undergrad Degree,False,9,False,Yes,False
EMP0520,Sales,Mid,33,69943.0,7,9.0,Direct,Secondary,False,5,True,No,False
EMP0946,Finance,Junior,39,50028.0,3,21.0,Direct,Secondary,False,3,False,No,False
EMP1105,Finance,Lead,40,222562.0,1,,Direct,,False,3,False,No,True
EMP0867,HR,Junior,33,51674.0,4,6.0,Direct,Undergrad Degree,False,3,True,Yes,False
EMP1053,Sales,Junior,36,31626.0,2,8.0,Direct,Undergrad Degree,False,11,False,No,False
EMP0343,Sales,Senior,39,119472.0,9,10.0,Referral,Secondary,False,14,False,Yes,False
EMP0472,IT,Lead,54,229132.0,7,24.0,Referral,UG Degree,True,45,False,No,False
EMP0302,IT,Mid,34,63230.0,10,10.0,Direct,Undergrad Degree,False,10,True,No,False
EMP0288,IT,Senior,35,144603.0,10,10.0,Agency,Undergrad Degree,True,5,True,Yes,False
EMP0268,HR,Junior,36,51633.0,11,18.0,Agency,Undergrad Degree,False,19,True,Yes,False
EMP0717,IT,Junior,28,51782.0,5,5.0,Agency,Secondary,False,3,True,No,False
EMP0132,Finance,Senior,43,153822.0,22,22.0,Direct,Undergrad Degree,False,9,False,No,True
EMP0797,HR,Senior,45,123563.0,4,19.0,Direct,Undergrad Degree,False,11,True,Yes,True
EMP0462,HR,Junior,35,34349.0,8,11.0,Direct,PhD,False,14,True,No,False
EMP0770,Sales,Junior,26,51986.0,5,7.0,Agency,Undergrad Degree,False,3,False,No,False
EMP1445,HR,Junior,20,38231.0,0,1.0,Direct,Masters,False,62,False,No,True
EMP1325,HR,Junior,37,24839.0,1,2.0,Agency,Undergrad Degree,False,5,True,Yes,True
EMP0819,HR,Junior,28,42511.0,4,4.0,Direct,Secondary,False,29,False,No,True
EMP0646,Sales,Senior,54,158882.0,5,21.0,Direct,Secondary,True,28,True,Y,False
EMP0788,Sales,Lead,44,212421.0,4,21.0,Direct Hire,Masters,False,14,True,No,False
EMP0609,IT,Junior,37,33447.0,6,6.0,Direct,Secondary,True,6,True,N,False
EMP1009,Sales,Senior,28,116118.0,2,,Direct,Undergrad Degree,False,3,False,Yes,True
EMP1126,Sales,Senior,41,127532.0,1,18.0,Direct,Undergrad Degree,False,28,False,No,False
EMP1021,HR,Mid,30,66221.0,2,9.0,Agency,Undergrad Degree,False,92,False,Yes,True
EMP0556,Finance,Junior,44,31049.0,7,7.0,Direct,Secondary,False,3,False,No,False
EMP0813,IT,Mid,39,77018.0,4,14.0,Direct,Undergrad Degree,False,12,True,Yes,False
EMP0528,Sales,Junior,29,58097.0,7,7.0,Direct,Undergrad Degree,False,3,True,Yes,False
EMP0265,Sales,Junior,33,58189.0,11,14.0,Direct,Undergrad Degree,False,6,False,No,False
EMP0779,Sales,Junior,29,44927.0,5,5.0,Referral,Undergrad Degree,False,3,True,No,False
EMP0380,IT,Mid,39,94708.0,9,12.0,Agency,Undergrad Degree,False,3,True,No,False
EMP1184,IT,Mid,40,90813.0,1,10.0,Direct,Undergrad Degree,False,3,False,No,False
EMP1213,IT,Junior,37,31835.0,1,1.0,Agency,Undergrad Degree,False,23,True,No,False
EMP1041,Sales,Junior,22,30557.0,2,2.0,Agency,Masters,False,16,True,No,True
EMP0909,HR,Mid,38,104406.0,3,11.0,Direct,Secondary,False,9,True,No,False
EMP0771,IT,Junior,44,32085.0,5,7.0,Direct,Undergrad Degree,False,3,True,No,False
EMP0549,Sales,Junior,41,27597.0,7,11.0,Direct,Undergrad Degree,False,10,False,No,False
EMP0800,Finance,Mid,54,60763.0,4,4.0,Direct,Secondary,False,95,False,No,True
EMP1134,Sales,Senior,62,130677.0,1,19.0,Agency,Undergrad Degree,False,3,True,No,False
EMP0572,IT,Mid,35,68706.0,6,,Agency,Undergrad Degree,False,3,False,Yes,False
EMP0197,HR,Senior,49,137025.0,15,26.0,Direct,Undergrad Degree,False,4,False,No,False
EMP0397,Finance,Junior,42,41549.0,9,9.0,Direct,Undergrad Degree,False,26,False,Yes,False
EMP0121,Sales,Lead,44,209907.0,24,24.0,Direct,Undergrad Degree,False,26,False,Yes,False
EMP0238,Sales,Lead,47,209035.0,12,24.0,Agency,Masters,False,3,True,Yes,False
EMP1040,HR,Junior,24,59296.0,2,4.0,Agency,Undergrad Degree,False,3,True,No,False
EMP0127,Sales,Lead,45,222859.0,22,26.0,Agency,Undergrad Degree,False,7,True,No,False
EMP0410,Sales,Senior,51,178778.0,8,22.0,Agency,Undergrad Degree,False,3,True,No,False
EMP0155,Sales,Mid,44,60551.0,20,23.0,Direct,,False,3,False,No,False
